Title;Rating;Genre;Year;Director;Image
The Super Mario Bros. Movie;7.776;Animation;2023;Michael Jelenic;images\502356.jpg
Adipurush;5.05;Action;2023;Om Raut;images\734253.jpg
Paydirt;5.615;Action;2020;Christian Sesma;images\696002.jpg
Heart of Stone;6.951;Thriller;2023;Tom Harper;images\724209.jpg
The Last Voyage of the Demeter;7.38;Thriller;2023;André Øvredal;images\635910.jpg
The White Storm 3: Heaven or Hell;6.667;Action;2023;Herman Yau;images\1093485.jpg
Mob Land;5.48;Action;2023;Nicholas Maggio;images\979275.jpg
The Equalizer 3;6.84;Action;2023;Antoine Fuqua;images\926393.jpg
Viking: Bloodlust;6.538;Action;2023;Greg Keith;images\1049951.jpg
Guardians of the Galaxy Vol. 3;8.023;Science Fiction;2023;James Gunn;images\447365.jpg
Epic Tails;6.8;Animation;2023;David Alaux;images\939338.jpg
Theater Camp;6.478;Comedy;2023;Molly Gordon;images\986054.jpg
Gran Turismo;7.477;Action;2023;Neill Blomkamp;images\980489.jpg
No Hard Feelings;7.163;Comedy;2023;Gene Stupnitsky;images\884605.jpg
Insidious: The Red Door;6.867;Horror;2023;Patrick Wilson;images\614479.jpg
One Piece Film Red;7.352;Animation;2022;Goro Taniguchi;images\900667.jpg
Murder City;7.4;Crime;2023;Michael D. Olmos;images\1142740.jpg
Avatar: The Way of Water;7.7;Science Fiction;2022;James Cameron;images\76600.jpg
Freestyle;6.861;Crime;2023;Maciej Bochniak;images\1152797.jpg
A Million Miles Away;8.087;Drama;2023;Alejandra Márquez Abella;images\1002185.jpg
Feed;6.857;Horror;2022;Johannes Persson;images\1015936.jpg
Rick and Morty: The Great Yokai Battle of Akihabara;6.5;Unknown;2021;Unknown;images\1164486.jpg
Piglady;3.0;Horror;2023;Adam Fair;images\1167913.jpg
Spirit of Fear;4.9;Horror;2023;Alex Davidson;images\1158385.jpg
Mission: Impossible - Dead Reckoning Part One;7.745;Action;2023;Christopher McQuarrie;images\575264.jpg
All Ladies Do It;4.719;Comedy;1992;Tinto Brass;images\37265.jpg
The Flood;6.831;Action;2023;Brandon Slagle;images\1006462.jpg
Cobweb;6.854;Horror;2023;Samuel Bodin;images\709631.jpg
Ruby Gillman, Teenage Kraken;7.472;Animation;2023;Kirk DeMicco;images\1040148.jpg
I Am Rage;6.292;Action;2023;David Ryan Keith;images\1135229.jpg
El Conde;6.629;Comedy;2023;Pablo Larraín;images\991708.jpg
Once Upon a Crime;6.696;Adventure;2023;Yuichi Fukuda;images\1122634.jpg
The Tutor;6.024;Mystery;2023;Jordan Ross;images\995012.jpg
Zero Fucks Given;6.291;Drama;2022;Emmanuel Marre;images\833326.jpg
Mavka: The Forest Song;7.4;Animation;2023;Oleksandra Ruban;images\459003.jpg
Warhorse One;7.253;Action;2023;Johnny Strong;images\1076487.jpg
97 Minutes;4.676;Thriller;2023;Timo Vuorensola;images\940241.jpg
A Haunting in Venice;6.794;Mystery;2023;Kenneth Branagh;images\945729.jpg
Puss in Boots: The Last Wish;8.266;Animation;2022;Joel Crawford;images\315162.jpg
My Fault;8.124;Romance;2023;Domingo González;images\1010581.jpg
Resident Evil: Death Island;7.612;Animation;2023;Eiichirō Hasumi;images\1083862.jpg
Sympathy for the Devil;6.3;Action;2023;Yuval Adler;images\1030987.jpg
The Magic Flute;6.311;Adventure;2022;Florian Sigl;images\818110.jpg
Me Vuelves Loca;8.595;Comedy;2023;Boris Quercia;images\1175306.jpg
In the Light of the Night;6.833;Mystery;2022;Misha L Kreuz;images\805298.jpg
Believers;6.667;Drama;2022;Hideo Jojo;images\987573.jpg
H4Z4RD;6.281;Action;2022;Jonas Govaerts;images\869855.jpg
The Stepford Wives;5.7;Comedy;2004;Frank Oz;images\9890.jpg
Knights of the Zodiac;6.641;Fantasy;2023;Tomek Baginski;images\455476.jpg
Miraculous: Ladybug & Cat Noir, The Movie;7.849;Animation;2023;Jeremy Zag;images\496450.jpg
The Squad: Home Run;6.0;Action;2023;Benjamin Rocher;images\1020394.jpg
Goatman;6.5;Horror;2023;Trey Murphy;images\1115694.jpg
Creation of the Gods I: Kingdom of Storms;7.887;Action;2023;Wuershan;images\856289.jpg
The Mistress;4.8;Horror;2023;Greg Pritikin;images\1094713.jpg
Bernie the Dolphin 2;6.444;Family;2019;Kirk Harris;images\656216.jpg
The Boogeyman;6.767;Horror;2023;Rob Savage;images\532408.jpg
Hidden Strike;7.041;Action;2023;Scott Waugh;images\457332.jpg
The Equalizer;7.247;Thriller;2014;Antoine Fuqua;images\156022.jpg
Guy Ritchie's The Covenant;7.818;War;2023;Guy Ritchie;images\882569.jpg
Let Her Kill You;5.682;Thriller;2023;Jérôme Dassier;images\852436.jpg
Home for Rent;6.9;Horror;2023;Sophon Sakdaphisit;images\977177.jpg
After Ever Happy;6.842;Romance;2022;Castille Landon;images\744276.jpg
The Pope's Exorcist;7.154;Horror;2023;Julius Avery;images\758323.jpg
The Seven Deadly Sins: Grudge of Edinburgh Part 2;7.408;Action;2023;Bob Shirohata;images\1064835.jpg
Coco;8.222;Family;2017;Lee Unkrich;images\354912.jpg
Scream VI;7.166;Horror;2023;Matt Bettinelli-Olpin;images\934433.jpg
Ant-Man and the Wasp: Quantumania;6.4;Action;2023;Peyton Reed;images\640146.jpg
Jagun Jagun;6.489;Action;2023;Tope Adebayo;images\1163045.jpg
3-D Sex and Zen: Extreme Ecstasy;5.1;History;2011;Christopher Sun;images\67308.jpg
After;7.14;Romance;2019;Jenny Gage;images\537915.jpg
Zack Snyder's Justice League;8.193;Action;2021;Zack Snyder;images\791373.jpg
Love at First Sight;7.44;Romance;2023;Vanessa Caswill;images\353577.jpg
Extraction 2;7.495;Action;2023;Sam Hargrave;images\697843.jpg
Rotting in the Sun;7.3;Comedy;2023;Sebastián Silva;images\1058696.jpg
San Andreas;6.228;Action;2015;Brad Peyton;images\254128.jpg
After We Fell;7.102;Romance;2021;Castille Landon;images\744275.jpg
Soulcatcher;6.538;Action;2023;Daniel Markowicz;images\1149381.jpg
Hypnotic;6.492;Mystery;2023;Robert Rodriguez;images\536437.jpg
Sorcery;6.192;Horror;2023;Christopher Murray;images\977246.jpg
The Conjuring: The Devil Made Me Do It;7.494;Horror;2021;Michael Chaves;images\423108.jpg
Justice League: Warworld;7.306;Animation;2023;Jeff Wamester;images\1003581.jpg
The Nun;5.486;Horror;2005;Luis de la Madrid;images\42968.jpg
Perpetrator;3.9;Horror;2023;Jennifer Reeder;images\1061656.jpg
Sisu;7.528;Action;2023;Jalmari Helander;images\840326.jpg
The Monkey King;6.84;Animation;2023;Anthony Stacchi;images\832502.jpg
Spider-Man: No Way Home;7.992;Action;2021;Jon Watts;images\634649.jpg
Avengers: Infinity War;8.255;Adventure;2018;Anthony Russo;images\299536.jpg
Evil Dead Rise;7.005;Thriller;2023;Lee Cronin;images\713704.jpg
Sasaki and Miyano: Graduation;6.3;Animation;2023;Shinji Ishihira;images\998731.jpg
SpongeBob SquarePants Presents The Tidal Zone;7.9;Animation;2023;Sherm Cohen;images\1088812.jpg
Jules;7.906;Science Fiction;2023;Marc Turtletaub;images\1072371.jpg
Top Gun: Maverick;8.26;Action;2022;Joseph Kosinski;images\361743.jpg
Suzume;7.952;Animation;2022;Makoto Shinkai;images\916224.jpg
Skinford: Death Sentence;4.667;Thriller;2023;Nik Kacevski;images\1102551.jpg
After We Collided;7.202;Romance;2020;Roger Kumble;images\613504.jpg
Babylon 5: The Road Home;6.8;Animation;2023;Matt Peters;images\1121575.jpg
Shin Kamen Rider;7.046;Action;2023;Hideaki Anno;images\813477.jpg
Sentinelle;5.263;Comedy;2023;Hugo Benamozig;images\1000081.jpg
Baise-moi;4.809;Crime;2000;Virginie Despentes;images\3134.jpg
Marlon Wayans Presents: The Headliners;4.0;Comedy;2022;Troy Miller;images\965645.jpg
The Batman;7.707;Crime;2022;Matt Reeves;images\414906.jpg
Dungeons & Dragons: Honor Among Thieves;7.458;Adventure;2023;John Francis Daley;images\493529.jpg
Shazam! Fury of the Gods;6.7;Comedy;2023;David F. Sandberg;images\594767.jpg
Black Panther: Wakanda Forever;7.198;Action;2022;Ryan Coogler;images\505642.jpg
Kingdom 3: The Flame of Fate;7.621;Action;2023;Shinsuke Sato;images\1061181.jpg
Creed III;7.198;Drama;2023;Michael B. Jordan;images\677179.jpg
The Creator;7.8;Science Fiction;2023;Gareth Edwards;images\670292.jpg
Encanto;7.631;Animation;2021;Byron Howard;images\568124.jpg
Rick and Morty vs. Genocider;6.5;Unknown;2020;Takashi Sano;images\1164489.jpg
Lit­tle Allan — The Human Antenna;7.5;Animation;2022;Amalie Næsby Fick;images\885021.jpg
The Blue Room;5.094;Drama;2002;Walter Doehner;images\154200.jpg
Dampyr;6.5;Horror;2022;Riccardo Chemello;images\644124.jpg
The Goldsmith;7.571;Horror;2022;Vincenzo Ricchiuto;images\999278.jpg
The Demon Wet Nurse;6.375;Drama;1992;Hsia Tsu-hui;images\406898.jpg
River Wild;6.634;Mystery;2023;Ben Ketai;images\1000475.jpg
Sexual Chronicles of a French Family;4.996;Comedy;2012;Jean-Marc Barr;images\112160.jpg
The Darkest Minds;7.051;Action;2018;Jennifer Yuh Nelson;images\445651.jpg
Taken 3;6.236;Thriller;2014;Olivier Megaton;images\260346.jpg
My First Barbie: Happy DreamDay;6.636;Family;2023;Kerr Holden;images\1165223.jpg
Kingdom 2: Far and Away;7.207;Action;2022;Shinsuke Sato;images\961420.jpg
Detective Conan: Black Iron Submarine;6.647;Animation;2023;Yuzuru Tachikawa;images\1047041.jpg
Harry Potter and the Philosopher's Stone;7.916;Adventure;2001;Chris Columbus;images\671.jpg
Saw X;6.5;Crime;2023;Kevin Greutert;images\951491.jpg
Zom 100: Bucket List of the Dead;6.771;Comedy;2023;Yusuke Ishida;images\1070514.jpg
Kokoro to Karada;0.0;Drama;2004;Hiroshi Ando;images\467407.jpg
The Haunting of the Tower of London;5.95;Horror;2022;Charlie Steeds;images\854881.jpg
Black Clover: Sword of the Wizard King;8.2;Animation;2023;Ayataka Tanemura;images\812225.jpg
Harry Potter and the Goblet of Fire;7.816;Adventure;2005;Mike Newell;images\674.jpg
Harry Potter and the Half-Blood Prince;7.697;Adventure;2009;David Yates;images\767.jpg
Six Swedish Girls in Alps;5.635;Romance;1983;Paul Grau;images\264859.jpg
PAW Patrol: The Movie;7.4;Animation;2021;Cal Brunker;images\675445.jpg
Yu Pui Tsuen III;5.864;Drama;1996;Lai Kai-Keung;images\191561.jpg
Ghosted;7.066;Action;2023;Dexter Fletcher;images\868759.jpg
Sitting in Bars with Cake;7.345;Romance;2023;Trish Sie;images\936952.jpg
Heroic;6.0;Drama;2023;David Zonana;images\958182.jpg
Mondocane;6.353;Action;2021;Alessandro Celli;images\744278.jpg
Mortal Kombat Legends: Scorpion's Revenge;8.149;Animation;2020;Ethan Spaulding;images\664767.jpg
Black Adam;7.015;Action;2022;Jaume Collet-Serra;images\436270.jpg
Erotic Ghost Story;6.173;Fantasy;1990;Lam Nai-Choi;images\60898.jpg
The Conjuring;7.541;Horror;2013;James Wan;images\138843.jpg
Harry Potter and the Prisoner of Azkaban;8.02;Adventure;2004;Alfonso Cuarón;images\673.jpg
La Leyenda de los Chaneques;8.491;Animation;2023;Marvick Núñez;images\1150394.jpg
Sonic the Hedgehog 2;7.577;Action;2022;Jeff Fowler;images\675353.jpg
Shadow Master;6.8;Action;2022;Pearry Reginald Teo;images\1036561.jpg
Father & Soldier;6.0;Drama;2023;Mathieu Vadepied;images\967874.jpg
No One Will Save You;6.516;Horror;2023;Brian Duffield;images\820609.jpg
Harry Potter and the Chamber of Secrets;7.72;Adventure;2002;Chris Columbus;images\672.jpg
Sex and Zen II;5.818;Romance;1996;Chin Man-Kei;images\74887.jpg
Killer Book Club;5.842;Horror;2023;Carlos Alonso-Ojea;images\1010826.jpg
War of the Worlds: The Attack;5.3;Science Fiction;2023;Junaid Syed;images\1103825.jpg
Unwelcome;5.968;Horror;2023;Jon Wright;images\758769.jpg
Caligula;5.993;Drama;1979;Tinto Brass;images\9453.jpg
Harry Potter and the Order of the Phoenix;7.686;Adventure;2007;David Yates;images\675.jpg
M3GAN;7.217;Science Fiction;2022;Gerard Johnstone;images\536554.jpg
Rick and Morty: Summer Meets God (Rick Meets Evil);4.25;Animation;2021;Takashi Sano;images\858068.jpg
Pillow Party Massacre;4.917;Horror;2023;Calvin Morie McCarthy;images\1104670.jpg
The Black Demon;6.272;Horror;2023;Adrian Grünberg;images\890771.jpg
Harry Potter and the Deathly Hallows: Part 1;7.764;Adventure;2010;David Yates;images\12444.jpg
Alien Invasion;5.444;Science Fiction;2023;Fred Searle;images\981314.jpg
红楼梦淫史;5.0;Romance;1987;Hsin Yen;images\1074215.jpg
The Meg;6.255;Action;2018;Jon Turteltaub;images\345940.jpg
Luck;7.845;Animation;2022;Peggy Holmes;images\585511.jpg
Thor: Love and Thunder;6.522;Fantasy;2022;Taika Waititi;images\616037.jpg
The Equalizer 2;6.701;Action;2018;Antoine Fuqua;images\345887.jpg
Harry Potter and the Deathly Hallows: Part 2;8.106;Fantasy;2011;David Yates;images\12445.jpg
Prey;7.765;Thriller;2022;Dan Trachtenberg;images\766507.jpg
The Wonderful World of Mickey Mouse: Steamboat Silly;7.2;Animation;2023;Eddie Trigueros;images\1139979.jpg
Remember;7.373;Thriller;2022;Lee Il-hyung;images\633374.jpg
Sword Art Online the Movie -Progressive- Scherzo of Deep Night;7.6;Animation;2022;Ayako Kono;images\893712.jpg
Mortal Kombat Legends: Battle of the Realms;7.7;Animation;2021;Ethan Spaulding;images\841755.jpg
No Way Out;6.5;Horror;2021;Joe Hamilton;images\735744.jpg
Fist of the Condor;7.394;Action;2023;Ernesto Díaz Espinoza;images\1064517.jpg
Miraculous World: Paris, Tales of Shadybug and Claw Noir;0.0;Animation;2023;Thomas Astruc;images\1147400.jpg
Ford v Ferrari;8.011;Drama;2019;James Mangold;images\359724.jpg
Interstellar;8.417;Adventure;2014;Christopher Nolan;images\157336.jpg
Jurassic World Dominion;6.789;Adventure;2022;Colin Trevorrow;images\507086.jpg
The Godfather;8.706;Drama;1972;Francis Ford Coppola;images\238.jpg
Insidious: The Last Key;6.271;Horror;2018;Adam Robitel;images\406563.jpg
Confidential Informant;6.4;Mystery;2023;Michael Oblowitz;images\1070802.jpg
The Mercator Trail;5.0;Adventure;2022;Douglas Boswell;images\767852.jpg
Jujutsu Kaisen 0;8.18;Animation;2021;Sunghoo Park;images\810693.jpg
Fury;7.517;War;2014;David Ayer;images\228150.jpg
Coraline;7.85;Animation;2009;Henry Selick;images\14836.jpg
My House;5.5;Horror;2023;Nick Norman-Butler;images\1104771.jpg
The (Almost) Legends;7.848;Comedy;2023;Ricardo Castro Velázquez;images\1148969.jpg
Dirty Games;3.6;Romance;2022;Jack Ayers;images\901454.jpg
We'll Never Have Paris;4.925;Comedy;2014;Simon Helberg;images\253287.jpg
Wild flowers;0.0;Thriller;2023;Jeffrey Hidalgo;images\1163231.jpg
Fall;7.3;Thriller;2022;Scott Mann;images\985939.jpg
Black Emanuelle;4.674;Drama;1975;Bitto Albertini;images\40348.jpg
Fear the Night;6.43;Action;2023;Neil LaBute;images\1143190.jpg
Five Nights at Freddy's;0.0;Horror;2023;Emma Tammi;images\507089.jpg
The Mount 2;5.5;Horror;2023;Ian Charles Serra;images\1115710.jpg
Garfield;5.669;Animation;2004;Peter Hewitt;images\8920.jpg
Avengers: Endgame;8.264;Adventure;2019;Anthony Russo;images\299534.jpg
The Forbidden Legend: Sex & Chopsticks 2;6.2;Comedy;2009;Chin Man-Kei;images\32516.jpg
Maid in Sweden;4.407;Drama;1971;Dan Wolman;images\47570.jpg
PAW Patrol: The Mighty Movie;8.0;Animation;2023;Cal Brunker;images\893723.jpg
Operation Napoleon;6.7;Thriller;2023;Óskar Thór Axelsson;images\1002338.jpg
Doctor Strange in the Multiverse of Madness;7.356;Fantasy;2022;Sam Raimi;images\453395.jpg
Shang-Chi and the Legend of the Ten Rings;7.59;Action;2021;Destin Daniel Cretton;images\566525.jpg
Casi muerta;7.6;Comedy;2023;Fernán Mirás;images\791295.jpg
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;7.125;Adventure;2005;Andrew Adamson;images\411.jpg
The Maze Runner;7.173;Action;2014;Wes Ball;images\198663.jpg
Inside Out;7.922;Animation;2015;Pete Docter;images\150540.jpg
Minions: The Rise of Gru;7.4;Animation;2022;Kyle Balda;images\438148.jpg
The Avengers;7.711;Science Fiction;2012;Joss Whedon;images\24428.jpg
Red, White & Royal Blue;8.2;Comedy;2023;Matthew López;images\930094.jpg
The Exorcist: Believer;0.0;Horror;2023;David Gordon Green;images\807172.jpg
Zootopia;7.747;Animation;2016;Byron Howard;images\269149.jpg
Up;7.948;Animation;2009;Pete Docter;images\14160.jpg
The Next 365 Days;6.508;Romance;2022;Barbara Białowąs;images\829560.jpg
Elvis the Pig;2.0;Family;2023;Jason Mills;images\1053017.jpg
Nightmare Neighborhood Moms;7.0;TV Movie;2022;Susan Walters;images\960398.jpg
Pirates of the Caribbean: At World's End;7.239;Adventure;2007;Gore Verbinski;images\285.jpg
Crazy Love;6.08;Comedy;1993;Roman Cheung;images\79871.jpg
Sweet Sex;6.4;Romance;2017;Park Sun-Uk;images\465595.jpg
Flower & Snake II;6.2;Drama;2005;Takashi Ishii;images\41473.jpg
Cocaine Bear;6.216;Thriller;2023;Elizabeth Banks;images\804150.jpg
Hacksaw Ridge;8.195;Drama;2016;Mel Gibson;images\324786.jpg
The Wrath of Becky;6.645;Action;2023;Matt Angel;images\986070.jpg
The Lion King;8.256;Family;1994;Roger Allers;images\8587.jpg
Troll;6.694;Fantasy;2022;Roar Uthaug;images\736526.jpg
Transfusion;6.1;Crime;2023;Matt Nable;images\842544.jpg
Sniper: The White Raven;7.662;War;2022;Marian Bushan;images\966220.jpg
Fifty Shades Freed;6.705;Drama;2018;James Foley;images\337167.jpg
Three Swedish Girls in Upper Bavaria;5.444;Comedy;1977;Sigi Rothemund;images\197640.jpg
365 Days: This Day;5.849;Romance;2022;Barbara Białowąs;images\829557.jpg
The Temptation of Kimono;5.7;Drama;2009;Tadashi Kyouya;images\247136.jpg
X;6.747;Horror;2022;Ti West;images\760104.jpg
65;6.13;Science Fiction;2023;Scott Beck;images\700391.jpg
Below Her Mouth;6.797;Drama;2017;April Mullen;images\370663.jpg
Fifty Shades of Grey;5.881;Drama;2015;Sam Taylor-Johnson;images\216015.jpg
Monsters, Inc.;7.835;Animation;2001;Pete Docter;images\585.jpg
Weekend in Lecco;4.8;Romance;1999;Silvia Rossi;images\359242.jpg
Promiscuity, the Street Kids of Katia;5.1;Drama;1984;Fauzi Mansur;images\232771.jpg
Turning Red;7.441;Animation;2022;Domee Shi;images\508947.jpg
Aquaman and the Lost Kingdom;0.0;Action;2023;James Wan;images\572802.jpg
Scream;6.714;Horror;2022;Matt Bettinelli-Olpin;images\646385.jpg
Plane;7.005;Action;2023;Jean-François Richet;images\646389.jpg
Teenage Mutant Ninja Turtles;5.9;Science Fiction;2014;Jonathan Liebesman;images\98566.jpg
The Nightmare Before Christmas;7.839;Fantasy;1993;Henry Selick;images\9479.jpg
Taste 2;6.375;Romance;2015;Gyeong Seok-Ho;images\359289.jpg
The Conjuring 2;7.292;Horror;2016;James Wan;images\259693.jpg
Flower and Snake 4: White Uniform Rope Slave;6.028;Thriller;1986;Shōgorō Nishimura;images\143310.jpg
Terminator Genisys;5.924;Science Fiction;2015;Alan Taylor;images\87101.jpg
Lamborghini: The Man Behind the Legend;6.272;Drama;2022;Bobby Moresco;images\457232.jpg
Big George Foreman;7.7;Drama;2023;George Tillman Jr.;images\878361.jpg
Project Wolf Hunting;6.408;Action;2022;Kim Hong-sun;images\799379.jpg
The Adventures of Peanut and Pig;5.0;Animation;2022;Karl Toerge;images\958772.jpg
Terrifier 2;6.833;Horror;2022;Damien Leone;images\663712.jpg
The Lorax;6.496;Animation;2012;Chris Renaud;images\73723.jpg
Fantastic Beasts: The Secrets of Dumbledore;6.724;Fantasy;2022;David Yates;images\338953.jpg
Saw;7.394;Horror;2004;James Wan;images\176.jpg
El Ucumar;2.0;Horror;2022;Octavio Revol Medina;images\912022.jpg
The Prince & Me 2: The Royal Wedding;5.707;Romance;2006;Catherine Cyran;images\15590.jpg
Shrek;7.73;Animation;2001;Andrew Adamson;images\808.jpg
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond;7.696;Animation;2022;Yasuhito Kikuchi;images\876792.jpg
Girlfriend's Taste 2;3.0;Romance;2020;Choi Jin-chul;images\995612.jpg
A Good Day to Die Hard;5.321;Action;2013;John Moore;images\47964.jpg
Star Wars;8.204;Adventure;1977;George Lucas;images\11.jpg
Titanic;7.9;Drama;1997;James Cameron;images\597.jpg
Bunker;0.0;Horror;2023;Adrian Langley;images\1032666.jpg
Venom: Let There Be Carnage;6.833;Science Fiction;2021;Andy Serkis;images\580489.jpg
Little Nicholas' Treasure;5.854;Family;2021;Julien Rappeneau;images\740844.jpg
Female Boss Hooker;10.0;Drama;2020;Han Dong-Ho;images\731159.jpg
GANTZ:O;7.323;Science Fiction;2016;Keiichi Sato;images\396263.jpg
Pirates of the Caribbean: The Curse of the Black Pearl;7.794;Adventure;2003;Gore Verbinski;images\22.jpg
Infidelity;6.85;Drama;2019;Nigina Sayfullaeva;images\575299.jpg
Outing 3;0.0;Drama;2020;Jaeeun Koo;images\753012.jpg
Dragon Ball Super: Super Hero;7.917;Animation;2022;Tetsuro Kodama;images\610150.jpg
Fast & Furious Presents: Hobbs & Shaw;6.868;Action;2019;David Leitch;images\384018.jpg
The Lord of the Rings: The Return of the King;8.473;Adventure;2003;Peter Jackson;images\122.jpg
The Expendables;6.227;Thriller;2010;Sylvester Stallone;images\27578.jpg
Between Us;6.189;Drama;2023;Jude Bauman;images\828373.jpg
Prey for the Devil;7.077;Horror;2022;Daniel Stamm;images\676547.jpg
The Hobbit: The Battle of the Five Armies;7.308;Action;2014;Peter Jackson;images\122917.jpg
Eradication;6.388;Horror;2022;Daniel Byers;images\993867.jpg
The Lord of the Rings: The Fellowship of the Ring;8.402;Adventure;2001;Peter Jackson;images\120.jpg
Toy Story;7.971;Animation;1995;John Lasseter;images\862.jpg
Pretty Young Sister 4;7.7;Drama;2021;Choi Jin-chul;images\852881.jpg
The Shawshank Redemption;8.702;Drama;1994;Frank Darabont;images\278.jpg
The Out-Laws;6.153;Romance;2023;Tyler Spindel;images\921636.jpg
Hotel Transylvania: Transformania;6.998;Animation;2022;Derek Drymon;images\585083.jpg
The Exorcist;7.72;Horror;1973;William Friedkin;images\9552.jpg
John Wick: Chapter 3 - Parabellum;7.447;Action;2019;Chad Stahelski;images\458156.jpg
Renfield;6.725;Comedy;2023;Chris McKay;images\649609.jpg
The Hunger Games: Mockingjay - Part 1;6.797;Science Fiction;2014;Francis Lawrence;images\131631.jpg
Jawan;7.5;Action;2023;Atlee;images\872906.jpg
Sing 2;7.918;Animation;2021;Garth Jennings;images\438695.jpg
Chinese Grandma;4.722;Comedy;2010;Vladimir Tumaev;images\77988.jpg
The Blind Soldiers;0.0;Drama;2023;Ronald Adamat;images\1168315.jpg
To Catch a Killer;7.02;Crime;2023;Damián Szifron;images\605886.jpg
The Raffle;6.819;Drama;1991;Francesco Laudadio;images\59053.jpg
Pirates of the Caribbean: On Stranger Tides;6.538;Adventure;2011;Rob Marshall;images\1865.jpg
The Woman King;7.75;Action;2022;Gina Prince-Bythewood;images\724495.jpg
Spider-Man: Into the Spider-Verse;8.404;Action;2018;Rodney Rothman;images\324857.jpg
The Mother;6.762;Action;2023;Niki Caro;images\552688.jpg
The Croods: A New Age;7.52;Animation;2020;Joel Crawford;images\529203.jpg
Avatar;7.573;Action;2009;James Cameron;images\19995.jpg
John Wick: Chapter 2;7.323;Action;2017;Chad Stahelski;images\324552.jpg
The Strange Case of a Claustrophobic Ghost;7.63;Fantasy;2023;Alejandro Sugich;images\1155458.jpg
The Wolf of Wall Street;8.0;Crime;2013;Martin Scorsese;images\106646.jpg
Avengers: Age of Ultron;7.277;Action;2015;Joss Whedon;images\99861.jpg
Ready Player One;7.608;Adventure;2018;Steven Spielberg;images\333339.jpg
Uncharted;7.005;Action;2022;Ruben Fleischer;images\335787.jpg
The Lord of the Rings: The Two Towers;8.384;Adventure;2002;Peter Jackson;images\121.jpg
Trapped in the Cabin;6.0;Thriller;2023;Derek Sulek;images\1165095.jpg
Nymphomaniac: Vol. II;6.764;Drama;2013;Lars von Trier;images\249397.jpg
Little Bone Lodge;7.484;Horror;2023;Matthias Hoene;images\1075335.jpg
Three Sexy Meals;2.5;Drama;2016;Choi Woo-seong;images\425652.jpg
Frozen;7.246;Animation;2013;Chris Buck;images\109445.jpg
The Emperor's New Groove;7.55;Adventure;2000;Mark Dindal;images\11688.jpg
24 Year Old Yoon Yul's Sexy Breasts;7.269;Drama;2021;Unknown;images\865463.jpg
Bullet Train;7.497;Action;2022;David Leitch;images\718930.jpg
The Venture Bros.: Radiant Is the Blood of the Baboon Heart;7.1;Animation;2023;Christopher McCulloch;images\828898.jpg
Bird Box Barcelona;6.022;Thriller;2023;Àlex Pastor;images\805320.jpg
Real Steel;6.982;Action;2011;Shawn Levy;images\39254.jpg
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train;8.256;Action;2020;Haruo Sotozaki;images\635302.jpg
The Boss Baby: Family Business;7.444;Animation;2021;Tom McGrath;images\459151.jpg
Crater;6.731;Science Fiction;2023;Kyle Patrick Alvarez;images\620705.jpg
Mr. Car and the Knights Templar;6.13;Adventure;2023;Antoni Nykowski;images\1059638.jpg
